id,answer
0,173
1,187
2,150
3,169
4,153
5,174
6,161
7,160
8,161
9,152
10,178
11,181
12,183
13,165
14,159
15,153
16,169
17,169
18,183
19,156
20,172
21,161
22,182
23,170
24,171
25,179
26,169
27,168
28,156
29,170
30,157
31,151
32,181
33,176
34,153
35,151
36,151
37,154
38,171
39,187
40,181
41,180
42,164
43,180
44,172
45,183
46,161
47,156
48,177
49,188
50,188
51,181
52,158
53,160
54,154
55,188
56,180
57,152
58,173
59,169
60,180
61,159
62,176
63,187
64,167
65,165
66,186
67,170
68,175
69,161
70,168
71,164
72,151
73,152
74,155
75,180
76,171
77,152
78,157
79,188
80,160
81,155
82,171
83,174
84,157
85,167
86,187
87,154
88,151
89,165
90,164
91,163
92,154
93,180
94,158
95,171
96,182
97,159
98,163
99,172
100,181
101,162
102,160
103,163
104,153
105,184
106,169
107,160
108,179
109,154
110,160
111,176
112,164
113,151
114,160
115,160
116,151
117,180
118,170
119,171
120,188
121,174
122,165
123,184
124,173
125,181
126,187
127,185
128,162
129,166
130,180
131,162
132,161
133,153
134,187
135,178
136,161
137,177
138,182
139,152
140,170
141,152
142,158
143,158
144,162
145,182
146,160
147,154
148,163
149,150
150,153
151,187
152,162
153,155
154,171
155,161
156,179
157,188
158,165
159,153
160,184
161,155
162,182
163,152
164,170
165,182
166,181
167,173
168,150
169,162
170,179
171,181
172,187
173,160
174,171
175,188
176,171
177,161
178,173
179,177
180,167
181,163
182,176
183,160
184,172
185,171
186,153
187,182
188,151
189,181
190,163
191,168
192,151
193,172
194,177
195,159
196,182
197,176
198,158
199,183
200,166
201,151
202,178
203,161
204,154
205,180
206,150
207,160
208,168
209,188
210,158
211,175
212,156
213,166
214,185
215,187
216,169
217,181
218,174
219,162
220,167
221,170
222,167
223,157
224,153
225,153
226,180
227,154
228,181
229,160
230,163
231,164
232,180
233,165
234,161
235,165
236,171
237,165
238,188
239,173
240,160
241,159
242,168
243,175
244,150
245,187
246,178
247,172
248,187
249,170
250,160
251,170
252,184
253,164
254,160
255,157
256,174
257,154
258,179
259,153
260,177
261,168
262,158
263,163
264,156
265,156
266,188
267,168
268,185
269,174
270,156
271,158
272,181
273,167
274,179
275,154
276,150
277,163
278,165
279,165
280,165
281,164
282,179
283,183
284,175
285,163
286,161
287,173
288,184
289,156
290,177
291,185
292,173
293,182
294,179
295,165
296,151
297,183
298,170
299,161
300,182
301,179
302,163
303,171
304,185
305,169
306,180
307,183
308,179
309,151
310,170
311,181
312,187
313,184
314,184
315,172
316,155
317,187
318,165
319,179
320,183
321,164
322,178
323,185
324,184
325,166
326,156
327,158
328,163
329,150
330,155
331,185
332,184
333,182
334,151
335,168
336,173
337,156
338,160
339,172
340,161
341,185
342,152
343,175
344,173
345,151
346,176
347,188
348,163
349,169
350,151
351,165
352,175
353,164
354,188
355,151
356,176
357,158
358,181
359,160
360,182
361,161
362,168
363,187
364,160
365,160
366,184
367,176
368,174
369,173
370,165
371,170
372,165
373,153
374,159
375,171
376,180
377,167
378,154
379,180
380,151
381,151
382,180
383,165
384,160
385,160
386,166
387,174
388,168
389,160
390,171
391,153
392,188
393,174
394,160
395,154
396,188
397,165
398,160
399,169
400,171
401,170
402,170
403,180
404,163
405,184
406,161
407,157
408,186
409,165
410,177
411,181
412,159
413,188
414,165
415,151
416,177
417,177
418,168
419,159
420,171
421,161
422,167
423,151
424,171
425,188
426,178
427,167
428,159
429,164
430,184
431,168
432,175
433,162
434,171
435,165
436,172
437,150
438,160
439,180
440,168
441,157
442,167
443,158
444,170
445,175
446,179
447,162
448,163
449,161
450,172
451,179
452,158
453,171
454,158
455,185
456,160
457,165
458,158
459,179
460,182
461,167
462,179
463,181
464,162
465,151
466,168
467,152
468,155
469,160
470,163
471,159
472,182
473,157
474,181
475,176
476,167
477,170
478,156
479,158
480,178
481,184
482,166
483,152
484,186
485,166
486,157
487,169
488,162
489,181
490,178
491,155
492,169
493,164
494,159
495,171
496,178
497,184
498,168
499,187
500,185
501,163
502,172
503,184
504,173
505,179
506,153
507,171
508,184
509,167
510,167
511,170
512,175
513,171
514,175
515,185
516,167
517,154
518,186
519,150
520,166
521,167
522,175
523,155
524,158
525,182
526,183
527,165
528,151
529,179
530,166
531,183
532,155
533,154
534,160
535,185
536,153
537,171
538,178
539,185
540,166
541,186
542,171
543,161
544,158
545,153
546,168
547,160
548,185
549,160
550,155
551,153
552,186
553,172
554,186
555,151
556,179
557,173
558,168
559,168
560,151
561,186
562,163
563,176
564,171
565,184
566,185
567,182
568,188
569,179
570,180
571,181
572,154
573,175
574,160
575,154
576,161
577,173
578,152
579,157
580,182
581,160
582,158
583,163
584,151
585,178
586,152
587,154
588,163
589,178
590,178
591,178
592,154
593,188
594,151
595,172
596,170
597,173
598,160
599,165
600,161
601,186
602,181
603,171
604,181
605,179
606,183
607,155
608,181
609,185
610,182
611,153
612,153
613,171
614,157
615,155
616,164
617,157
618,160
619,159
620,180
621,159
622,165
623,185
624,188
625,160
626,173
627,157
628,184
629,163
630,154
631,150
632,161
633,185
634,163
635,175
636,156
637,168
638,172
639,158
640,175
641,170
642,158
643,178
644,172
645,184
646,165
647,159
648,161
649,157
650,180
651,181
652,169
653,178
654,186
655,173
656,161
657,154
658,181
659,172
660,167
661,183
662,175
663,173
664,153
665,180
666,182
667,183
668,165
669,184
670,181
671,166
672,163
673,169
674,164
675,164
676,163
677,170
678,178
679,153
680,185
681,158
682,181
683,171
684,160
685,159
686,180
687,170
688,184
689,188
690,168
691,183
692,159
693,165
694,178
695,159
696,152
697,171
698,177
699,159
700,174
701,180
702,184
703,160
704,159
705,184
706,171
707,168
708,166
709,161
710,153
711,186
712,168
713,160
714,167
715,159
716,171
717,188
718,163
719,181
720,161
721,169
722,158
723,188
724,167
725,179
726,165
727,153
728,163
729,178
730,160
731,153
732,151
733,165
734,178
735,175
736,181
737,172
738,175
739,179
740,158
741,150
742,171
743,167
744,188
745,154
746,162
747,185
748,174
749,173
750,183
751,181
752,169
753,181
754,188
755,188
756,155
757,175
758,188
759,174
760,184
761,161
762,152
763,158
764,185
765,157
766,171
767,150
768,154
769,151
770,187
771,175
772,166
773,175
774,157
775,158
776,161
777,151
778,166
779,186
780,164
781,163
782,180
783,181
784,171
785,156
786,182
787,151
788,158
789,158
790,158
791,178
792,186
793,183
794,186
795,184
